{7c6c0c2d-176d-45c9-b01a-6e310b632946} bank:/Banks/Ambience
{6781d072-37b9-41ed-b8e0-853fa9d6a882} event:/Events/Narration/VA_IDontThink
{1f96d8fa-27e4-403c-b4a7-77ee30ecff14} event:/Events/Narration/VA_INeedToBring
{b7b08ec8-e4e5-47df-8088-2c2f5455b8a2} event:/Events/Narration/VA_IsThis
{c4ead349-929c-466b-b22b-876ed10fcd36} event:/Events/Narration/VA_Lovely
{80dc157b-3079-4e7f-a2d3-ba567de9c0b4} event:/Events/Narration/VA_Miyah
{2d51a647-b6d3-48ec-becb-43975b4df274} event:/Events/Narration/VA_Mmmm
{8068e3c5-516c-4d39-9908-3f78d669b854} event:/Events/Narration/VA_Ow
{be67beb3-4028-403f-b141-7c737a80e171} event:/Events/Narration/VA_Reactions
{17ed9075-bfa8-4fa5-93c7-c7e857cbd968} event:/Events/Narration/VA_Reactions_2
{6e480d8e-eb90-4774-b318-10374d6342ec} event:/Events/Narration/VA_Reactions_3
{02da8ff2-fc1a-414e-98d9-a1474499b892} event:/Events/Narration/VA_SayMore
{36ca410f-e7b8-4893-a7ed-08581a0ed04e} event:/Events/Narration/VA_Slip
{8488e58c-b726-4540-ba1d-8fddcee96ec3} event:/Events/Narration/VA_TheGrove
{b6296d6a-4a02-446f-9a5e-775c11c2269c} event:/Events/Narration/VA_TheSister
{2f6eac0b-cd1a-4cbb-8905-6455344ea098} event:/Events/Narration/VA_ThoseFlowers
{f8fa820b-30a6-404f-902e-c1c6762aa252} event:/Events/Narration/VA_Tree_Base
{e368f1b7-229b-4ec0-a187-1b669f796689} event:/Events/Narration/VA_Tree_Find
{a8ad0cc3-231b-4ef9-8387-2da7f37eaa54} event:/Events/Narration/VA_Tree_OthersCame
{5fc53ba5-d32f-4753-8294-4b49462c4a1e} event:/Events/Narration/VA_Tree_ThankYou
{594064c0-02ee-4b1a-b807-4c32d338cc1e} event:/Events/Narration/VA_Tree_YouDont
{3a3141fc-4333-4540-b764-f82fb73ffa3c} event:/Events/Narration/VA_Tree_YourNotStill
{8adc99cd-3274-446a-ae2d-1b03c339b4b0} event:/Events/Narration/VA_Wakeup
{4e05b7a6-b2c5-4ee6-b43a-3a4f62775bfc} event:/Events/Narration/VA_What
{7440bb4b-a83a-4bd5-a916-5f92715418b2} event:/Events/Narration/VA_WhatHappened
{d5e5c35b-4892-451c-8343-7be3b4c5bc8d} event:/Events/Narration/VA_WhyAmIStill
{6972b7d3-5596-46fd-9907-4519fff50605} event:/Events/Narration/VA_YouAreFinally
{b03673c4-28b6-4193-8a51-2cc1c09b5514} parameter:/ReactionCount
{a3780a77-4c19-4681-929a-854eae76695f} vca:/Master
{1d97303f-c58b-4482-8f23-a802e1456bd8} vca:/Music
{2382a874-15bf-4be7-9239-4aa5b363a34b} vca:/SFX
{8f374e89-abfd-466d-a823-72b8beed3475} vca:/Voice
